PA,SZ,HDB 1- and 2-Room Flats,HDB 3-Room Flats,HDB 4-Room Flats,HDB 5-Room and Executive Flats,HUDC Flats (excluding those privatised),Condominiums and Other Apartments,Landed Properties,Others
Choa Chu Kang,Yew Tee,0,0,15660,20610,0,4680,0,0
Clementi,Clementi Central,60,4620,5420,1360,0,1380,930,290
Clementi,Clementi North,1010,11590,11210,5110,0,0,0,360
Clementi,Clementi West,0,7270,3860,1180,0,2990,260,30
Clementi,Clementi Woods,1520,2840,5290,3110,0,2220,310,420
Clementi,Faber,0,0,0,0,0,4270,1560,20
Clementi,Pandan,0,0,0,0,0,0,0,0
Clementi,Sunset Way,0,220,1150,1970,0,1840,930,0
Clementi,Toh Tuck,0,0,0,0,0,0,0,0
Clementi,West Coast,0,0,0,0,0,4470,1840,0
Downtown Core,Anson,0,0,0,0,0,0,0,0
Downtown Core,Bayfront Subzone,0,0,0,0,0,0,0,0
Downtown Core,Bugis,0,0,670,0,0,220,0,40
Downtown Core,Cecil,0,0,0,0,0,200,0,0
Downtown Core,Central Subzone,0,0,0,0,0,780,0,0
Downtown Core,City Hall,0,0,0,0,0,0,0,0
Downtown Core,Clifford Pier,0,0,0,0,0,0,0,0
Downtown Core,Marina Centre,0,0,0,0,0,0,0,0
Downtown Core,Maxwell,0,0,0,0,0,0,0,0
Downtown Core,Phillip,0,0,0,0,0,0,0,0
Downtown Core,Raffles Place,0,0,0,0,0,0,0,0
Downtown Core,Tanjong Pagar,0,0,0,0,0,550,0,40
Geylang,Aljunied,2120,8970,9050,6400,0,11930,460,1260
Geylang,Geylang East,2060,6410,6880,3920,0,6530,4220,380
Geylang,Kallang Way,0,0,0,0,0,0,0,0
Geylang,Kampong Ubi,0,1030,8950,2000,0,0,0,130
Geylang,Macpherson,4700,11350,6030,3050,0,750,1780,160
Hougang,Defu Industrial Park,0,0,0,0,0,0,0,0
Hougang,Hougang Central,0,60,1460,2080,0,250,900,10
Hougang,Hougang East,0,1690,13570,8020,0,1890,0,0
Hougang,Hougang West,0,7990,25110,11890,0,0,0,540
Hougang,Kangkar,1300,5990,9850,4580,0,9710,330,60
Hougang,Kovan,0,700,2260,1040,0,8740,11870,340
Hougang,Lorong Ah Soo,0,7850,9870,6910,0,3950,3820,250
Hougang,Lorong Halus,0,0,0,0,0,0,0,0
Hougang,Tai Seng,1370,590,4650,2320,0,720,4180,380
Hougang,Trafalgar,2930,1790,19460,16860,0,2860,1430,2690
Jurong East,International Business Park,0,0,0,0,0,0,0,0
Jurong East,Jurong Gateway,0,0,0,0,0,440,0,0
Jurong East,Jurong Port,0,0,0,0,0,0,0,0
Jurong East,Jurong River,0,0,0,0,0,0,0,0
Jurong East,Lakeside,0,0,0,0,0,790,0,60
Jurong East,Penjuru Crescent,0,0,0,0,0,0,0,0
Jurong East,Teban Gardens,200,4880,8980,4780,0,0,0,0
Jurong East,Toh Guan,0,580,5380,8780,0,0,0,0
Jurong East,Yuhua East,0,8290,6640,7090,0,2630,0,250
Jurong East,Yuhua West,1740,3990,5020,5480,0,3100,0,130
Jurong West,Boon Lay Place,3700,13010,5640,6130,0,1180,0,0
Jurong West,Chin Bee,0,0,0,0,0,0,0,0
Jurong West,Hong Kah,810,12130,23820,13050,0,4180,0,110
Jurong West,Jurong West Central,30,620,24140,38700,0,1200,0,0
Jurong West,Kian Teck,0,0,0,0,0,0,0,0
Jurong West,Safti,0,0,0,0,0,0,0,0
Jurong West,Taman Jurong,2170,5270,13500,12200,0,6190,710,10
Jurong West,Wenya,0,0,3150,5000,0,0,0,160
Jurong West,Yunnan,1330,2270,30710,26000,0,3990,3590,310
Kallang,Bendemeer,1910,9160,13930,5790,0,4860,730,710
Kallang,Boon Keng,1010,2600,5360,2870,0,30,80,0
Kallang,Crawford,4350,2380,790,730,0,590,0,60
Kallang,Geylang Bahru,1170,7040,1410,2080,0,0,0,20
Kallang,Kallang Bahru,0,0,0,0,0,0,0,0
Kallang,Kampong Bugis,0,0,610,80,0,210,0,0
Kallang,Kampong Java,340,1810,3520,1580,0,2810,590,110
Kallang,Lavender,2500,1160,1590,910,0,3020,0,410
Kallang,Tanjong Rhu,480,1910,400,860,0,7300,0,80
Lim Chu Kang,Lim Chu Kang,0,0,0,0,0,0,0,70
Mandai,Mandai East,0,0,0,0,0,0,0,0
Mandai,Mandai Estate,0,0,0,0,0,1300,760,0
Mandai,Mandai West,0,0,0,0,0,0,0,0
Marina East,Marina East,0,0,0,0,0,0,0,0
Marina South,Marina South,0,0,0,0,0,0,0,0
Marine Parade,East Coast,0,0,0,0,0,0,0,0
Marine Parade,Katong,0,0,0,0,0,4940,4220,230
Marine Parade,Marina East (Mp),0,0,0,0,0,0,0,0
Marine Parade,Marine Parade,3320,6250,4810,5400,0,6950,60,60
Marine Parade,Mountbatten,0,0,0,0,0,5180,4980,50
Museum,Bras Basah,0,0,0,0,0,0,0,0
Museum,Dhoby Ghaut,0,0,0,0,0,280,0,0
Museum,Fort Canning,0,0,0,0,0,150,0,0
Newton,Cairnhill,0,0,0,0,0,3280,430,180
Newton,Goodwood Park,0,0,0,0,0,1090,90,10
Newton,Istana Negara,0,0,0,0,0,0,0,0
Newton,Monk's Hill,0,0,0,0,0,1040,0,0
Newton,Newton Circus,0,0,0,0,0,190,10,0
Newton,Orange Grove,0,0,0,0,0,1680,0,0
North-Eastern Islands,North-Eastern Islands,0,0,0,0,0,0,0,0
Novena,Balestier,1790,7770,7720,4660,0,9610,570,640
Novena,Dunearn,0,0,0,0,0,890,3050,0
Novena,Malcolm,0,0,0,0,0,770,2180,40
Novena,Moulmein,0,0,160,0,0,7450,1330,70
Novena,Mount Pleasant,0,0,0,0,0,0,690,0
Orchard,Boulevard,0,0,0,0,0,380,0,50
Orchard,Somerset,0,0,0,0,0,110,0,0
Orchard,Tanglin,0,0,0,0,0,360,0,0
Outram,China Square,0,1280,0,60,0,10,0,0
Outram,Chinatown,1040,2550,4630,2000,0,300,0,240
Outram,Pearl's Hill,4520,1110,290,0,0,420,0,290
Outram,People's Park,0,0,0,0,0,310,0,0
Pasir Ris,Flora Drive,0,0,0,0,0,11050,3290,310
Pasir Ris,Loyang East,0,0,0,0,0,940,1220,0
Pasir Ris,Loyang West,0,0,0,0,0,0,0,190
Pasir Ris,Pasir Ris Central,630,950,6940,14010,0,9410,370,0
Pasir Ris,Pasir Ris Drive,830,0,22180,30500,0,1770,0,0
Pasir Ris,Pasir Ris Park,0,0,0,0,0,7270,240,0
Pasir Ris,Pasir Ris Wafer Fab Park,0,0,0,0,0,0,0,0
Pasir Ris,Pasir Ris West,0,0,10470,17570,0,6010,2060,0
Paya Lebar,Airport Road,0,0,0,0,0,0,0,0
Paya Lebar,Paya Lebar East,0,0,0,0,0,0,0,0
Paya Lebar,Paya Lebar North,0,0,0,0,0,0,0,0
Paya Lebar,Paya Lebar West,0,0,0,0,0,0,0,0
Paya Lebar,Plab,0,0,0,0,0,0,0,0
Pioneer,Benoi Sector,0,0,0,0,0,0,0,0
Pioneer,Gul Basin,0,0,0,0,0,0,0,0
Pioneer,Gul Circle,0,0,0,0,0,0,0,0
Pioneer,Joo Koon,0,0,0,0,0,0,0,0
Pioneer,Pioneer Sector,0,0,0,0,0,0,0,0
Punggol,Coney Island,0,0,0,0,0,0,0,0
Punggol,Matilda,3760,5520,20280,12000,0,9530,0,0
Punggol,Northshore,0,0,0,0,0,0,310,0
Punggol,Punggol Canal,0,0,0,0,0,0,0,0
Punggol,Punggol Field,990,380,13430,28380,0,5410,0,230
Punggol,Punggol Town Centre,1220,3290,10980,4340,0,1070,0,0
Punggol,Waterway East,3060,5030,24520,11410,0,5780,0,0
Queenstown,Commonwealth,1670,5260,280,0,0,0,0,10
Queenstown,Dover,400,2090,3090,2830,0,2520,20,190
Queenstown,Ghim Moh,2120,4930,4590,2140,0,0,0,10
Queenstown,Holland Drive,530,5630,4340,2400,0,0,0,0
Queenstown,Kent Ridge,0,0,0,0,0,0,0,0
Queenstown,Margaret Drive,350,1120,9500,3480,0,770,0,270
Queenstown,Mei Chin,1650,5200,2720,2700,0,3030,230,90
Queenstown,National University Of S'pore,0,0,0,0,0,0,0,340
Queenstown,One North,0,0,0,0,0,630,90,0
Queenstown,Pasir Panjang 1,0,0,0,0,0,2970,1430,30
Queenstown,Pasir Panjang 2,0,0,0,0,0,1410,1590,0
Queenstown,Port,0,0,0,0,0,0,50,0
Queenstown,Queensway,0,0,0,0,0,290,0,0
Queenstown,Singapore Polytechnic,0,0,0,0,0,0,0,100
Queenstown,Tanglin Halt,1300,6090,3140,660,0,0,0,190
River Valley,Institution Hill,0,0,0,0,0,3420,0,0
River Valley,Leonie Hill,0,0,0,0,0,3000,10,0
River Valley,One Tree Hill,0,0,0,0,0,1560,520,0
River Valley,Oxley,0,0,0,0,0,1330,120,0
River Valley,Paterson,0,0,0,0,0,220,0,0
Rochor,Bencoolen,10,810,90,0,0,280,0,10
Rochor,Farrer Park,0,270,1760,440,0,60,0,130
Rochor,Kampong Glam,0,0,0,0,0,0,0,90
Rochor,Little India,0,1260,1530,250,0,10,10,260
Rochor,Mackenzie,0,0,0,0,0,90,0,0
Rochor,Mount Emily,0,0,0,0,0,1460,0,10
Rochor,Rochor Canal,0,0,0,0,0,0,0,0
Rochor,Selegie,0,0,0,0,0,200,0,0
Rochor,Sungei Road,660,980,370,0,0,0,0,0
Rochor,Victoria,0,1100,500,10,0,190,0,20
Seletar,Pulau Punggol Barat,0,0,0,0,0,0,0,0
Seletar,Pulau Punggol Timor,0,0,0,0,0,0,0,0
Seletar,Seletar,0,0,0,0,0,0,260,0
Seletar,Seletar Aerospace Park,0,0,0,0,0,0,0,0
Sembawang,Admiralty,1140,800,5950,6220,0,0,0,0
Sembawang,Sembawang Central,1360,630,11670,16420,0,3930,0,160
Sembawang,Sembawang East,1650,1900,5310,2790,0,0,50,0
Sembawang,Sembawang North,1080,250,11470,12910,0,0,0,120
Sembawang,Sembawang Springs,0,0,0,0,0,6160,1950,410
Sembawang,Sembawang Straits,0,0,0,0,0,0,1740,0
Sembawang,Senoko North,0,0,0,0,0,0,0,0
Sembawang,Senoko South,0,0,0,0,0,0,0,0
Sembawang,The Wharves,0,0,0,0,0,0,0,0
Sengkang,Anchorvale,1680,1330,15950,22650,0,5000,0,0
Sengkang,Compassvale,570,440,12990,2600,0,4640,0,0
Sengkang,Fernvale,2830,6710,26530,10120,0,7440,1060,510
Sengkang,Lorong Halus North,0,0,0,0,0,0,0,0
Sengkang,Rivervale,1670,970,21020,28210,0,8080,250,0
Sengkang,Sengkang Town Centre,450,1530,23260,32220,0,3710,250,240
Sengkang,Sengkang West,0,0,0,0,0,0,0,0
Serangoon,Lorong Chuan,0,0,0,0,0,4170,4190,80
Serangoon,Seletar Hills,0,0,0,0,0,1990,12250,0
Serangoon,Serangoon Central,0,3940,10710,5010,0,3950,1250,80
Serangoon,Serangoon Garden,1260,4580,9990,4080,0,1110,14880,580
Serangoon,Serangoon North,0,0,6490,9660,0,0,0,0
Serangoon,Serangoon North Ind Estate,0,0,0,0,0,0,0,0
Serangoon,Upper Paya Lebar,360,1530,4860,2540,0,4040,2850,60
Simpang,Pulau Seletar,0,0,0,0,0,0,0,0
Simpang,Simpang North,0,0,0,0,0,0,0,0
Simpang,Simpang South,0,0,0,0,0,0,0,0
Simpang,Tanjong Irau,0,0,0,0,0,0,0,0
Singapore River,Boat Quay,0,0,0,0,0,50,0,20
Singapore River,Clarke Quay,0,0,0,0,0,10,0,50
Singapore River,Robertson Quay,0,0,0,0,0,2810,0,0
Southern Islands,Sentosa,0,0,0,0,0,1220,660,0
Southern Islands,Southern Group,0,0,0,0,0,0,0,0
Straits View,Straits View,0,0,0,0,0,0,0,0
Sungei Kadut,Gali Batu,0,0,0,0,0,0,0,0
Sungei Kadut,Kranji,0,0,0,0,0,0,0,0
Sungei Kadut,Pang Sua,0,0,0,0,0,0,0,0
Sungei Kadut,Reservoir View,0,0,0,0,0,0,0,0
Sungei Kadut,Turf Club,0,0,0,0,0,0,700,0
Tampines,Simei,0,220,11670,11740,0,12150,4110,270
Tampines,Tampines East,4300,23600,51400,47960,0,5220,0,420
Tampines,Tampines North,30,650,1050,550,0,0,0,170
Tampines,Tampines West,2250,9750,34910,24290,0,8360,0,220
Tampines,Xilin,0,0,0,0,0,1210,500,20
Tanglin,Chatsworth,0,0,0,0,0,5650,1060,40
Tanglin,Nassim,0,0,0,0,0,8010,1640,20
Tanglin,Ridout,0,0,0,0,0,640,830,20
Tanglin,Tyersall,0,0,170,320,0,2460,850,0
Tengah,Tengah,0,0,0,0,0,0,0,0
Toa Payoh,Bidadari,0,0,0,0,0,0,0,0
Toa Payoh,Boon Teck,4520,4050,1940,3520,0,0,0,230
Toa Payoh,Braddell,1440,2760,1940,2560,0,1240,0,10
Toa Payoh,Joo Seng,0,1080,2070,1820,0,1770,1430,100
Toa Payoh,Kim Keat,240,3210,2580,2010,0,0,0,20
Toa Payoh,Lorong 8 Toa Payoh,420,2120,2980,1870,0,0,0,40
Toa Payoh,Pei Chun,430,5230,2790,2110,0,0,0,10
Toa Payoh,Potong Pasir,0,4890,3770,1090,0,1820,10,100
Toa Payoh,Sennett,0,0,0,0,0,1270,4030,180
Toa Payoh,Toa Payoh Central,2490,4790,10950,7810,0,2160,0,170
Toa Payoh,Toa Payoh West,540,7390,2250,580,0,3650,0,160
Toa Payoh,Woodleigh,0,0,0,0,0,2130,280,10
Tuas,Tengeh,0,0,0,0,0,0,0,0
Tuas,Tuas Bay,0,0,0,0,0,0,0,0
Tuas,Tuas North,0,0,0,0,0,0,0,0
Tuas,Tuas Promenade,0,0,0,0,0,0,0,0
Tuas,Tuas View,0,0,0,0,0,0,0,0
Tuas,Tuas View Extension,0,0,0,0,0,0,0,0
Western Islands,Jurong Island And Bukom,0,0,0,0,0,0,0,0
Western Islands,Semakau,0,0,0,0,0,0,0,0
Western Islands,Sudong,0,0,0,0,0,0,0,0
Western Water Catchment,Western Water Catchment,0,0,0,0,0,0,0,680
Woodlands,Greenwood Park,0,0,0,0,0,0,0,0
Woodlands,Midview,1230,1010,15510,17580,0,0,0,190
Woodlands,North Coast,110,4830,5410,2070,0,0,0,0
Woodlands,Senoko West,0,0,0,0,0,0,0,0
Woodlands,Woodgrove,190,2000,12620,13420,0,4960,730,320
Woodlands,Woodlands East,2820,2080,47140,41850,0,4520,0,210
Woodlands,Woodlands Regional Centre,0,0,0,0,0,0,0,0
Woodlands,Woodlands South,1810,1010,13030,17910,0,7270,0,0
Woodlands,Woodlands West,3740,8880,11030,9310,0,0,0,210
Yishun,Khatib,190,2130,4190,3930,0,0,0,10
Yishun,Lower Seletar,1210,1890,5540,3790,0,4370,1090,0
Yishun,Nee Soon,0,0,0,0,0,460,480,0
Yishun,Northland,990,6590,15180,5760,0,0,0,60
Yishun,Springleaf,0,0,0,0,0,120,4200,0
Yishun,Yishun Central,0,0,730,610,0,680,0,0
Yishun,Yishun East,3470,7300,32060,13280,0,3580,0,0
Yishun,Yishun South,920,4550,20130,13330,0,2920,0,210
Yishun,Yishun West,1300,18310,22580,5990,0,6140,0,540
